database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,basisOfRecord,verbatimEventDate,stateProvince,locality,identifiedBy,coordinateUncertaintyInMeters,coordinatePrecision,recordedBy,country,county,year
GBIF_338,Miridae,-31.55,159.083333,4893141183,PRESERVED_SPECIMEN,21/10/1991,New South Wales,Lord Howe Island,Elias,NA,NA,NA,NA,NA,1991
GBIF_339,Miridae,-34.23333,150.916702,4893140475,PRESERVED_SPECIMEN,12/11/1988,New South Wales,Darkes Forest,Fletcher,NA,NA,NA,NA,NA,1988
GBIF_342,Miridae,-33.283329,149.100006,4893138925,PRESERVED_SPECIMEN,20/02/1998,New South Wales,Orange,Fletcher,NA,NA,NA,NA,NA,1998
GBIF_344,Miridae,-31.45,149.9,4893138571,PRESERVED_SPECIMEN,14/11/1991,New South Wales,Premer,Elias,NA,NA,NA,NA,NA,1991
GBIF_347,Miridae,-33.83333,150.9833,4893137435,PRESERVED_SPECIMEN,14/11/1958,New South Wales,Merrylands,NA,NA,NA,Fairey,NA,NA,1958
GBIF_359,Miridae,-31.55,159.083333,4893133255,PRESERVED_SPECIMEN,20/06/1991,New South Wales,Lord Howe Island,Elias,NA,NA,NA,NA,NA,1991
GBIF_361,Miridae,-29.23333,152.9333,4893131265,PRESERVED_SPECIMEN,13/02/2007,New South Wales,Camira State Forest,NA,NA,NA,Olive,NA,NA,2007
GBIF_362,Miridae,-31.45,149.9,4893131222,PRESERVED_SPECIMEN,14/11/1991,New South Wales,Premer,Elias,NA,NA,NA,NA,NA,1991
GBIF_366,Miridae,-31.316669,148.983307,4893130432,PRESERVED_SPECIMEN,22/03/1984,New South Wales,nr Roy Quinton Lookout Warrumbungle Nat Pk,Fletcher,NA,NA,NA,NA,NA,1984
GBIF_368,Miridae,-31.83333,152.75,4893129745,PRESERVED_SPECIMEN,16/03/1981,New South Wales,Crowdy Bay Nat. Park,Fletcher,NA,NA,NA,NA,NA,1981
GBIF_371,Miridae,-34.23333,150.916702,4893128469,PRESERVED_SPECIMEN,12/11/1988,New South Wales,Darkes Forest,Fletcher,NA,NA,NA,NA,NA,1988
GBIF_374,Miridae,-34.23333,150.916702,4893128124,PRESERVED_SPECIMEN,12/11/1988,New South Wales,Darkes Forest,Fletcher,NA,NA,NA,NA,NA,1988
GBIF_375,Miridae,-31.55,159.083333,4893127991,PRESERVED_SPECIMEN,18/07/1991,New South Wales,Lord Howe Island,Elias,NA,NA,NA,NA,NA,1991
GBIF_377,Miridae,-31.55,159.083333,4893127732,PRESERVED_SPECIMEN,20/06/1991,New South Wales,Lord Howe Island,Elias,NA,NA,NA,NA,NA,1991
GBIF_382,Miridae,-31.55,159.083333,4893126691,PRESERVED_SPECIMEN,30/10/1991,New South Wales,Lord Howe Island,Elias,NA,NA,NA,NA,NA,1991
GBIF_386,Miridae,-31.55,159.083333,4893125217,PRESERVED_SPECIMEN,15/10/1991,New South Wales,Lord Howe Island,Elias,NA,NA,NA,NA,NA,1991
GBIF_389,Miridae,-33.6,150.8,4893124868,PRESERVED_SPECIMEN,31/05/1971,New South Wales,Windsor,Fletcher,NA,NA,NA,NA,NA,1971
GBIF_390,Miridae,-34.23333,150.9833,4893124561,PRESERVED_SPECIMEN,11/11/1986,New South Wales,Stanwell Park,Fletcher,NA,NA,NA,NA,NA,1986
GBIF_393,Miridae,-31.55,159.083333,4893123736,PRESERVED_SPECIMEN,1991-11,New South Wales,Lord Howe Island,Elias,NA,NA,NA,NA,NA,1991
GBIF_395,Miridae,-34.23333,150.916702,4893123291,PRESERVED_SPECIMEN,12/11/1988,New South Wales,Darkes Forest,Fletcher,NA,NA,NA,NA,NA,1988
GBIF_400,Miridae,-30.33333,149.7833,4893122180,PRESERVED_SPECIMEN,19/09/1960,New South Wales,Narrabri,Fletcher,NA,NA,NA,NA,NA,1960
GBIF_409,Miridae,-34,151.2167,4893120207,PRESERVED_SPECIMEN,19/10/1958,New South Wales,Kurnell,Fletcher,NA,NA,NA,NA,NA,1958
GBIF_415,Miridae,-28.26667,153.55,4893117830,PRESERVED_SPECIMEN,20/09/1990,New South Wales,Cudgen,Fletcher,NA,NA,NA,NA,NA,1990
GBIF_418,Miridae,-33.41667,149.5833,4893117123,PRESERVED_SPECIMEN,20/10/1966,New South Wales,Bathurst,Fletcher,NA,NA,NA,NA,NA,1966
